Donnerstag, den 1. Februar 2018= jeudi 1 février

schwimen= nager;
straiten= se disputer;
vergleichen= écrire;
lesen= lire;
können= pouvoir;
wissen= savoir;
heben= soulever;
sagen= dire;
fallen= tomber;
kaufen= acheter;
hollen= chercher;
zählen= compter;
schenken= offrir;
sein= être;
probieren= essayer;
telefonieren= téléphoner;
haben= avoir;
abbreschen= casser;
weiteigehen= continuer a se prommener;
geschlafen= dormir;
abgefahren= partir en voiture;
gedacht= réfléchir;
gegben= donner;
gewonnen= gagner;
getrunken= boir;
gegessen= manger;
geschnitten= couper;
zerbrochen= casser;
gelaufen= courir;
gekonnt= pouvoir;
geworden= devenir;
überwiesen= superviser;
gekannt= connaitre;
gesucht= chercher;
gebracht= apporter;
gekommen= venir;
verschwunden= disparaitre;
geheisst= s'appeler;
empfunden= ressentir;
